Profile Name,Start Time,Duration,Attributes,Title,Supplemental Video Type,Device Type,Bookmark,Latest Bookmark,Country
Liam,2023-01-19 15:27:14,00:03:42,,The Walking Dead: Season 7: The Well (Episode 2),,DefaultWidevineAndroidPhone,00:05:04,00:05:04,BE (Belgium)
Liam,2023-01-19 14:38:19,00:28:15,,The Walking Dead: Season 7: The Day Will Come When You Won't Be (Episode 1),,DefaultWidevineAndroidPhone,00:45:06,00:45:06,BE (Belgium)
Liam,2023-01-19 13:49:09,00:30:20,,The Walking Dead: Season 6: Last Day on Earth (Episode 16),,DefaultWidevineAndroidPhone,01:04:04,01:04:04,BE (Belgium)
Liam,2023-01-18 12:40:19,00:00:59,,The Walking Dead: Season 6: Last Day on Earth (Episode 16),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:28:25,Not latest view,BE (Belgium)
Liam,2023-01-18 11:31:35,00:17:25,,The Walking Dead: Season 6: Last Day on Earth (Episode 16),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:27:33,Not latest view,BE (Belgium)
Liam,2023-01-18 10:58:28,00:32:54,Autoplayed: user action: User_Interaction; ,The Walking Dead: Season 6: East (Episode 15),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:42:15,00:42:15,BE (Belgium)
Liam,2023-01-17 23:29:39,00:05:14,,The Walking Dead: Season 6: East (Episode 15),,DefaultWidevineAndroidPhone,00:07:00,Not latest view,BE (Belgium)
Liam,2023-01-17 23:03:55,00:25:32,,The Walking Dead: Season 6: Twice as Far (Episode 14),,DefaultWidevineAndroidPhone,00:42:27,00:42:27,BE (Belgium)
Liam,2023-01-17 22:47:46,00:16:04,,The Walking Dead: Season 6: The Same Boat (Episode 13),,DefaultWidevineAndroidPhone,00:42:18,00:42:18,BE (Belgium)
Liam,2023-01-17 19:06:09,00:20:58,,The Walking Dead: Season 6: The Same Boat (Episode 13),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:21:28,Not latest view,BE (Belgium)
Liam,2023-01-17 18:53:57,00:12:08,,The Walking Dead: Season 6: Not Tomorrow Yet (Episode 12),,LG 2019 RTK K5Lp Standard UHD TV Smart TV,00:42:26,00:42:26,BE (Belgium)
Liam,2023-01-17 08:33:08,00:24:43,,The Walking Dead: Season 6: Not Tomorrow Yet (Episode 12),,DefaultWidevineAndroidPhone,00:30:22,Not latest view,BE (Belgium)
Liam,2023-01-17 07:56:37,00:36:27,,The Walking Dead: Season 6: Knots Untie (Episode 11),,DefaultWidevineAndroidPhone,00:42:30,00:42:30,BE (Belgium)
Liam,2023-01-17 07:29:00,00:26:28,,The Walking Dead: Season 6: The Next World (Episode 10),,DefaultWidevineAndroidPhone,00:42:45,00:42:45,BE (Belgium)
Liam,2023-01-17 07:21:40,00:07:13,,The Walking Dead: Season 6: No Way Out (Episode 9),,DefaultWidevineAndroidPhone,00:42:21,00:42:21,BE (Belgium)
Liam,2023-01-17 07:18:53,00:02:08,,The Walking Dead: Season 6: No Way Out (Episode 9),,DefaultWidevineAndroidPhone,00:25:33,Not latest view,BE (Belgium)
Liam,2023-01-17 02:04:07,00:20:36,,The Walking Dead: Season 6: No Way Out (Episode 9),,DefaultWidevineAndroidPhone,00:22:27,Not latest view,BE (Belgium)
Liam,2023-01-17 01:48:20,00:15:33,,The Walking Dead: Season 6: Start to Finish (Episode 8),,DefaultWidevineAndroidPhone,00:42:26,00:42:26,BE (Belgium)
Liam,2023-01-17 01:48:14,00:00:05,,The Walking Dead: Season 6: Heads Up (Episode 7),,DefaultWidevineAndroidPhone,00:39:50,00:39:50,BE (Belgium)
Liam,2023-01-17 01:42:27,00:05:43,,The Walking Dead: Season 6: Start to Finish (Episode 8),,DefaultWidevineAndroidPhone,00:09:06,Not latest view,BE (Belgium)
Liam,2023-01-17 01:41:18,00:01:07,,The Walking Dead: Season 6: Heads Up (Episode 7),,DefaultWidevineAndroidPhone,00:42:29,Not latest view,BE (Belgium)
Liam,2023-01-17 00:30:14,00:15:14,,The Walking Dead: Season 6: Heads Up (Episode 7),,DefaultWidevineAndroidPhone,00:40:15,Not latest view,BE (Belgium)
Liam,2023-01-17 00:30:10,00:00:03,,The Walking Dead: Season 6: Always Accountable (Episode 6),,DefaultWidevineAndroidPhone,00:42:29,00:42:29,BE (Belgium)
Liam,2023-01-16 08:43:48,00:12:42,,The Walking Dead: Season 6: Heads Up (Episode 7),,DefaultWidevineAndroidPhone,00:16:04,Not latest view,BE (Belgium)
Liam,2023-01-16 08:43:40,00:00:03,,The Walking Dead: Season 6: Start to Finish (Episode 8),,DefaultWidevineAndroidPhone,00:00:03,Not latest view,BE (Belgium)
Liam,2023-01-16 08:38:25,00:05:08,,The Walking Dead: Season 6: Always Accountable (Episode 6),,DefaultWidevineAndroidPhone,00:42:21,Not latest view,BE (Belgium)
Liam,2023-01-16 08:05:59,00:31:08,,The Walking Dead: Season 6: Always Accountable (Episode 6),,DefaultWidevineAndroidPhone,00:36:38,Not latest view,BE (Belgium)
Liam,2023-01-16 07:54:01,00:11:51,,The Walking Dead: Season 6: Now (Episode 5),,DefaultWidevineAndroidPhone,00:42:28,00:42:28,BE (Belgium)
Liam,2023-01-16 07:26:54,00:15:10,,The Walking Dead: Season 6: Now (Episode 5),,DefaultWidevineAndroidPhone,00:20:51,Not latest view,BE (Belgium)
Liam,2023-01-16 07:07:38,00:19:09,,The Walking Dead: Season 6: Here's Not Here (Episode 4),,DefaultWidevineAndroidPhone,01:04:03,01:04:03,BE (Belgium)
Liam,2023-01-16 04:55:17,00:14:24,,The Walking Dead: Season 6: Here's Not Here (Episode 4),,DefaultWidevineAndroidPhone,00:37:37,Not latest view,BE (Belgium)
Liam,2023-01-16 03:51:54,00:14:33,,The Walking Dead: Season 6: Here's Not Here (Episode 4),,DefaultWidevineAndroidPhone,00:19:36,Not latest view,BE (Belgium)
Liam,2023-01-16 03:35:14,00:16:33,,The Walking Dead: Season 6: Thank You (Episode 3),,DefaultWidevineAndroidPhone,00:42:29,00:42:29,BE (Belgium)
Liam,2023-01-15 19:54:35,00:09:48,,The Walking Dead: Season 6: Thank You (Episode 3),,DefaultWidevineAndroidPhone,00:13:50,Not latest view,BE (Belgium)
Liam,2023-01-15 19:53:40,00:00:51,,The Walking Dead: Season 6: Thank You (Episode 3),,DefaultWidevineAndroidPhone,00:01:06,Not latest view,BE (Belgium)
Liam,2023-01-15 19:28:47,00:24:41,,The Walking Dead: Season 6: JSS (Episode 2),,DefaultWidevineAndroidPhone,00:42:23,00:42:23,BE (Belgium)
Liam,2023-01-15 19:00:25,00:27:56,,The Walking Dead: Season 6: First Time Again (Episode 1),,DefaultWidevineAndroidPhone,01:03:30,01:03:30,BE (Belgium)
